index,name ,mood,year,artist,lyrics
199,Chandrulo Unde,Upbeat,2005,Shankar Mahadevan,"చంద్రుళ్ళో ఉండే కుందేలు కిందికొచ్చిందా, కిందికొచ్చి నీల మారిందా తందానే తందానే. చుక్కల్లో ఉండే జిగేలు నిన్ను మెచ్చిందా, నిన్ను మెచ్చి నీలో చేరిందా తందానే తందానే. నువ్వలా సాగే తోవంతా, ఆవల తూగే నీవెంటా, ఏవంటా, నువ్వెళ్లే దారే మారిందా. నీవల్లే తీరే మారి ఏరై పారిందేమో నెలంతా. చంద్రుళ్ళో ఉండే కుందేలు కిందికొచ్చిందా, కిందికొచ్చి నీల మారిందా. ఏలే ఏలే ఏలే ఏలే ఏలే ఏలే ఏలే ఏలే ఏలే ఏలే ఏలే ఎలొ ఏలేలో ఏలేలో ఓ ఓ హే హే ఓ ఓ హే హే. హాయ్ మై నేమ్ ఇస్ సంతోష్, కెన్ ఐ కనౌ యువర్ నేమ్ ప్లీజ్ స్టెల్లా, స్టెల్లా ఓహ్ వాట్ ఏ బ్యూటిఫుల్ నేమ్, కెన్ ఐ హవె యువర్ ఫోన్ నెంబర్, రై రై రై హోం హోం కామన్ డాడ్. గువ్వలా దూసుకు వచ్చావే తొలి యవ్వనమా, తెలుసా ఎక్కడ వాలాలో, నవ్వులే తీసుకు వచ్చావే ఈడు సంబరమా, తెలుసా ఎవ్వరికివ్వాలో ఓ ఓ. హే గ గ గ రి గ రి స స గ రి రి స, గ గ గ రి గ రి స స గ రి రి స ఆ ఆ. కూచిపూడి అన్న పదం కొత్త ఆట నేర్చింద, పాట లాంటి లేత పదం పాఠశాల గా, కూనలమ్మ జానపదం పల్లె దాటి వచ్చిందా, జావళీల జానా తనం బాట చూపగా ఆ. కుంచెలో దాగే చిత్రాలు ఎదురొచ్చేనా, అంతటా ఎన్నో వర్ణాలు, మంచులో దాగే చైత్రాలు బదులిచ్చేలా, ఇంతలా ఏవో రాగాల్లో. ఆకతాయి సందడి గా ఆగలేని తొందరగా, సాగుతున్న ఈ పయనం ఎంతవరకు, రేపువైపు ముందడుగా లేనిపోని దుందుడుకా, రేగుతున్న ఈ వేగం ఎందుకొరకొ. మట్టి కీ మబ్బు కి ఈ వేళా దూరమెంతంటే, లెక్కలే మాయం ఐపోవా, రెంటినీ ఒక్కటి చేసేలా తీరమేదంటే, దిక్కులే తత్తర పడి పోవా."
200,Dhaari Choodu,Upbeat,2018,Penchal Das,"దారి చూడు దుమ్ము చూడు మామ, దున్నపోతుల బెరెయ్ చూడు. దారి చూడు దుమ్ము చూడు మామ, దున్నపోతుల బెరెయ్ చూడు. కమలపూడి కమలపూడి, కట్టమీద మమ్మ, కన్నె పిల్లల జోరేయ్ చూడు. కమలపూడి కట్టమీద మమ్మ, కన్నె పిల్లల జోరేయ్ చూడుడు. బులుగు చొక్కా ఏసినవాడా పిల్లగా, చిలక ముక్కు చిన్నవాడా. బులుగు చొక్కా ఏసినవాడా పిల్లగా, చిలక ముక్కు చిన్నవాడా. చక్కని చుక్క చక్కని చుక్క, దక్కెయ్ చూడు దక్కెయ్ చూడు మామ. చిత్ర కన్ను కొంటెయివాడా, చిత్ర కన్ను కొంటెయివాడా, చిత్ర కన్ను కొంటెయివాడా. మెడలోని కుర్రాదాన్ని పిల్లగా, ముగ్గులోకి దింపినావూ. మెడలోని కుర్రాదాన్ని పిల్లగా, ముగ్గులోకి దింపినావూ. నిన్ను కోరి నిన్ను కోరి, వాణ్ణెయ్లాడి లైట్ల, కోట ధాటి పేట జేరేయ్. కురసా కురసా అడివిలోనా పీలగా, కురిసెనే గాంధారి వాన. కురసా కరసా అడివిలోనా పీలగా, కురిసెనే గాంధారి వాన. ఎక్కారని ఎక్కారని కొండలెక్కి మామ, ప్రేమలోని చిక్కినావూ. ఎక్కారని ఎక్కారని కొండలెక్కి మామ, ప్రేమలోని చిక్కినావూ. పూల ఛాతి పట్టుకొని పిల్లగా, ఊరు వాడ తోడురాగా. పూల ఛాతి పట్టుకొని పిల్లగా, ఊరు వాడ తోడురాగా. జంటగానే జంటగానే, కూడినారు మామ చలువ పందిరి నీడ కిందా. జంటగానే కూడినారు మామ, చలువ పందిరి నీడ కింద."
201,Evo Evo Kalale,Upbeat,2021,"Jonitha Gandhi,Nakul Abhyankar",ఏవో ఏవో కలలే ఎన్నో ఎన్నో తెరలే అన్ని దాటి మనసే హే ఎగిరిందే నన్నే నేనే గెలిచే క్షణాలివే కనుకే పాదాలకే అదుపే హే హే లేదందే రమ్ పమ్ తర రమ్ పమ్ తర రమ్ పమ్ ఎదలో రమ్ పమ్ తర రమ్ పమ్ కథలో ఏంటో కొత్త కొత్త రెక్కలొచ్చినట్టు ఏంటో గగనంలో తిరిగా ఏంటో కొత్త కొత్త ఊపిరందినట్టు ఏంటో తమకంలో మునిగా ఇన్నాళ్ళకి వచ్చింది విడుదల గుండెసడి పాడింది కిలకిల పూలాతడి మెరిసింది మిలమిల కంటీతడి నవ్వింది గలగల ఊహించలేదసలే ఊగిందిలే మనసే పరాకులో ఇపుడే హే హే పడుతోందే అరే అరే అరెరే ఇలా ఎలా జరిగే సంతోషమే చినుకై దూకిందే రమ్ పమ్ తర రమ్ పమ్ తర రమ్ పమ్ ఎదలో రమ్ పమ్ తర రమ్ పమ్ కథలో ఏంటో కల్లల్లోన ప్రేమ ఉత్తరాలు ఏంటో అసలెప్పుడు కనలే ఏంటో గుండెచాటు ఇన్ని సిత్తరాలు ఏంటో ఎదురెప్పుడు అవలే నీతో ఇలా ఒక్కొక్క క్షణముని దాచెయ్యనా ఒక్కొక్క వరమని నీతో ఇలా ఒక్కొక్క ఋతువుని పోగెయ్యనా ఇటువైపో అటువైపో ఎటువైపో మనకే తెలియని వైపు కాసేపు విహరిద్దాం చల్ రే హో హో ఏంటో మౌనమంత మూత విప్పినట్టు ఏంటో సరిగమలే పాడే ఏంటో వానవిల్లు గజ్జకట్టినట్టు ఏంటో కథకళినే ఆడే గాల్లోకిలా విసరాలి గొడుగులు మన స్వేచ్ఛకి వెయ్యొద్దు తొడుగులు సరిహద్దులే దాటాలి అడుగులు మన జోరుకి అదరాలి పిడుగులు ఏంటో హల్లిబిల్లి హాయి మంతనాలు ఏంటో మన మధ్యన జరిగే ఏంటో చిన్న చిన్న చిలిపి తందనాలు ఏంటో వెయ్యింతలు పెరిగే ఏంటో ఆశలన్నీ పూసగుచ్చడాలు ఏంటో ముందెప్పుడు లేదే ఏంటో ధ్యాస కూడా దారి తప్పడాలు ఏంటో గమ్మత్తుగా ఉందే
202,Uppongene Godavari,Upbeat,2006,S.P.Balasubramanyam,"షడ్యమాం భవతి వేదం, పంచమాం భవతి నాదం. శ్రుతిశిఖరే నిగమఝరే స్వరలహరే. ఉప్పొంగెలే గోదావరి ఊగిందిలే చేలో వరి, భూదారిలో నీలాంబరి మా సీమకే చీనాంబరి. వెతలు తీర్చు మా దేవేరి, వేదమంటి మా గోదారి. శబరి కలిసిన గోదారి, రామ చరితకే పూదారి. వేసెయ్ చాప జోర్సెయ్ నావ బార్సెయ్ వాలుగా, చుక్కానే చూపుగా బ్రతుకు తెరువు ఎదురీతేగా. సావాసాలు సంసారాలు చిలిపి చిలక జోస్యం, వేసే అట్లు వేయంగానే లాభసాటి బేరం. ఇళ్ళే ఓడలైపోతున్న ఇంటి పనుల దృశ్యం, ఆరేసేటి అందాలన్నీ అడిగే నీటి అద్దం. ఏం తగ్గింది మా రామయ్య భోగం ఇక్కడ, నది ఊరేగింపులో పడవ మీద రాగా. ప్రభువు తాను కాగా, ఉప్పొంగెలే గోదావరి ఊగిందిలే చేలో వరి, భూదారిలో నీలాంబరి మా సీమకే చీనాంబరి. గోదారమ్మ కుంకం బొట్టు దిద్దే మిరప ఎరుపు, లంకానాధుడింకా ఆగనంటు పండ్లు కొరుకు. చూసే చూపు ఏం చెప్పింది సీతాకాంతకి, సందేహాల మబ్బే పట్టె చూసే కంటికి. లోకం కాని లోకంలోన ఏకాంతాల వలపు, అల పాపికొండల నలుపు కడగలేక. నవ్వు తనకు రాగా, ఉప్పొంగెలే గోదావరి ఊగిందిలే చేలో వరి, భూదారిలో నీలాంబరి మా సీమకే చీనాంబరి."
203,Ranu Ranu Antune Chinnado,Upbeat,2002,"R.P Patnaik,Usha","ఏమైందిరా బాదగా ఉంది, నాకు లేని బాద నీకెందుకురా. నీ బాధ నా బాధ కాదా. ఎహే రాయే, హబ్బబ్బబ్బ రాను రాను నాను రాను కుదరదయ్యో. కాదు కాదు ఈలు కాదు వొగ్గేయ్ వయ్యో. వొద్దు వొద్దు మీద మీద పడకురయ్యో. సిగ్గు సిగ్గు సిన్నకోక లాగకయ్యో. రాను రానంటూనే సిన్నదో సిన్నదో. రాములోరి గుడికొచ్చే సిన్నదో సిన్నది. రాను రానంటూనే సిన్నదో సిన్నదో. రాములోరి గుడికొచ్చే సిన్నదో సిన్నది. కాదు కాదంటూనే కుర్రదో కుర్రదో. తోటకాడికొచ్చిందా కుర్రదో కుర్రది. పచ్చి పచ్చి వంటూనే పిల్లదో పిల్లదో. పళ్ళెట్టుకొచ్చిందోయ్ పిల్లదో పిల్లది. రాను రానంటూనే సిన్నదో సిన్నదో. రాములోరి గుడికొచ్చే సిన్నదో సిన్నది. ఏం పండు తీసుకొచ్చిందిరా అబ్బాయ్, యాపిలు పండు నారింజ పండు. బత్తాయి పండు బొప్పాయి పండు. అనస పండు పనస పండు. నిమ్మ పండు దానిమ్మ పండు. మామిడి పండు అరటి పండు. రాను అని కాదు అని అంతలేసి మాటలని, సంతకొచ్చె సూడవయ్యో సిన్నది. కాదనంటే ఔననిలే లేదనంటే ఉందనిలే, ఆడవారి మాట తీరు వేరులే. ఔనా మైనా మాతో చిందేయ్ చిందేయ్. బాబోయ్ రానోయ్ నాకసలే సిగ్గోయ్ సిగ్గోయ్. సిగ్గు సిగ్గంటూనే సిన్నదో సిన్నదో. సీరంతా జార్చిందా సిన్నదో సిన్నది. కస్సుబుస్సంటూనే కుర్రదో కుర్రదో. కౌగిట్లో వాలిందా కుర్రదో కుర్రది. హరిలో రంగ హరి హరి స్వామి రంగ హరి హరి. ఏంటో ఎవరూ పట్టించుకోట్లేదేంటి. గాజువాక పిల్లా మేము గాజులోళ్ళం గాదా. చెయ్యి చాపలేదా మా గాజు తొడగలేదా. తప్పు అని గిప్పు అని అందరిలో ముందరని. సాటుకొచ్చి సిందులేసే సిన్నది. తప్పనంటే ఒప్పనులే ఒప్పనంటే తప్పనులే. సూటిగానూ సెప్పదయ్యో ఆడది. రావే పిల్లా ఎందుకు మల్లా గుల్లా. ఎల్లోయ్ ఎల్లోయ్ ఎల్లెల్లోయ్ ఎల్లో ఎల్లోయ్. రాను రానంటూనే సిన్నదో సిన్నదో. రాములోరి గుడికొచ్చే సిన్నదో సిన్నది."
204,Aanandham Anandham Aaye,Upbeat,2004," K.S. Chitra,S.P.Balasubramanyam",ఆనందమానందమాయే మది ఆశల నందనమాయె ఆనందమానందమాయే మది ఆశల నందనమాయె మాటలు చాలని హాయే ఒక పాటగా మారిన మాయే కాలమే పూలదారి సాగనీ గానమే గాలిలాగా తాకని నీ స్వరం నాదిగా ఈ క్షణం పలికినది ఆనందమానందమాయే మది ఆశల నందనమాయె మాటలు చాలని హాయే ఒక పాటగా మారిన మాయే నువ్వు నడుచు దారుల్లో పూలు పరచి నిలుచున్నా అడుగు పడితే గుండెల్లో కొత్త సడిని వింటున్నా నీలి కళ్ళ ముంగిట్లో నన్ను నేను కనుగొన్న నిండు గుండె గుమ్మంలో తోరణంగా నేనున్నా నీ వైపే సాగే అడుగే నీతో నడవాలని అడిగే నీ మాటే పలికే స్వరమే నీతోనే కలిసే వరమే వేణువంటి నా హృదయంలో ఊపిరి పాటై పాడగా ఆనందమానందమాయే మాది ఆశల నందనమాయె మాటలు చాలని హాయే ఒక పాటగా మారిన మాయే రాగాబాల రమ్మంటు స్వగాతాలు పలికింది ఆగలేని వేగంలో ఆశ అడుగు వేసింది జతగా నీవు చేరాకే బ్రతుకు తీపి తెలిసింది రెప్ప చాటు లోకంలో కళల కోన కదిలింది మనసంతా హాయిని మోసి నీ కోసం ప్రేమను దాచి రాగాలే రాసులు పోసి ఈ గీతం కనుక చేసి శుభాకాంక్షలు పలకాలి నవ్వుల పువ్వుల మాలతో
205,Anandam Madike,Upbeat,2021,Sid Sriram and Satya Yamini,ఏమైందో ఈ వేళ ఈ గాలి రంగులేవో చల్లిందా ఓ ఓహో ఓఓ అందమైన ఊహేదో మదిలో వాలి అల్లరేదో చేసిందా ఓ ఓహో ఓఓ మెత్తనైన నీ పెదవులపై నా పేరే రాశావా నే పలికే భాషే నువ్వయావే వెన్నెలా హో రెండు కన్నులెత్తి గుండెలపై నీ చూపే గీశావా ఆ గీతే దాటి అడుగునైనా విడువలేనే నేనిలా ఆఆ ఆ ఆ ఆనందమానంద మదికే ఏమందమేమందమొలికే నీ నవ్వు నా గుండె గదికే వెలుగే వెన్నెలా ఆనందమానంద మదికే ఏమందమేమందమొలికే నీ పిలుపు నా అడుగు నదికే పొంగే వరదలా మిలమిల మెరిసే కనుచివరలే మినుకుల్లా విసరకు నువ్వే నీ చూపులే మెరుపుల్లా మెరిసెనా మెల్లగా దారిలోన మల్లెల వాన కురిసెనా ధారగా రంగు రంగు తారలతోనా వీణలై క్షణాళిలా స్వరాలూ పూసేనా ఓ ఓ ప్రేమలో ఓ నిమిషమే యుగాలు సాగేనా ఆ ఆఆ
206,Chirutha Kannula,Upbeat,2006,"Jessi Gift,Suchitra",చిరుత కన్నుల వాడే చిలిపి చిన్నోడే చిలక కొట్టని చోటే కొరికి పెట్టాడే అల్లాడి పోకే సత్యభామ కిలాడి ఓడే నా చందమామ ఓస్స హే ఒస్సా హే ఒస్సా హే ఒస్సా హే ఓస్స ఒస్సా ఒస్సా ఒస్సా ఒస్సా ఏ ఒస్సారే ఒస్సా ఒస్సా రే ఒస్సారే ఒస్సా ఒస్సా రే ఒస్సారే ఒస్సా ఒస్సా రే చిరుత కన్నుల వాడే చిలిపి చిన్నోడే చిలక కొట్టని చోటే కొరికి పెట్టాడే అల్లాడి పోకే సత్యభామ కిలాడి ఓడే నా చందమామ ఓస్స హే ఒస్సా హే ఒస్సా హే ఒస్సా హే ఓస్స ఒస్సా ఒస్సా ఒస్సా ఒస్సా ఏ ఒస్సారే ఒస్సా ఒస్సా రే ఒస్సారే ఒస్సా ఒస్సా రే ఒస్సారే ఒస్సా ఒస్సా రే అందమంతా ఆరబోసి అమ్ముకుంటావే అందగాడే పక్కనుంటే అంతే అంతేలే తప్పు ఒప్పు చెప్పకమ్మో తప్పదివ్వాళే సిగ్గు ఎగ్గూ ఆపారయ్యో బుగ్గే కందే లే నీ ఒంపు సొంపుల్లో ఆ మడతే రమ్మంది నీ వొళ్ళో తుళ్ళిపడి వెచ్చపడి జారిపడి కెవ్వుమనేలే ఓస్స హే ఒస్సా హే ఒస్సా హే ఒస్సా హే ఓస్స ఒస్సా ఒస్సా ఒస్సా ఒస్సా ఏ ఒస్సారే ఒస్సా ఒస్సా రే ఒస్సారే ఒస్సా ఒస్సా రే ఒస్సారే ఒస్సా ఒస్సా రే రబ్బరు తో చేసిన రంభ నువ్వే లే రంగులతో తెంపర నా రిబ్బన్ ముల్లె హంగు పొంగు లాగుతుంటే మతే పోయేలా గీచి గీచి చూడకయ్యొ మతే ఎక్కేలే ఏదైనా ఏమైనా ఈ రాతిరి జాతరలే నీ తోనే అల్లుకుని గిల్లుకుని హత్తుకుని జివ్వుమనేలే ఓస్స హే ఒస్సా హే ఒస్సా హే ఒస్సా హే ఓస్స ఒస్సా ఒస్సా ఒస్సా ఒస్సా ఏ ఒస్సారే ఒస్సా ఒస్సా రే ఒస్సారే ఒస్సా ఒస్సా రే ఒస్సారే ఒస్సా ఒస్సా రే
207,Dheera Dheera,Upbeat,2018,"Ananya Bhat,Srikrishna","అదిగో పెను నిశ్శబదం పగిలి ముక్కలౌతున్న భీకర దృశ్యం, అలలెగిసిన తడి అలజడి ఆగ్రహ, తేజమై రూపుదాల్చింది సత్యం. ఆర్తత్రాణ పారాయణ దీక్ష పర్వం, అహో ఆరంభం. ఆర్తత్రాణ పారాయణ దీక్ష పర్వం, అహో ఆరంభం. ధీర ధీర ధీర, ధీర ఓ రణధీరా, రారా రారా తెర తీసే వెలుగై ర రావు. ధమ ఢమ ఢమ ఢమ, హృదయ నినాదం, దడలు పుట్టించు మరణ మృదంగం. ధిమి ధిమి ధిమి, పాద ఘట్ట నాగా సాగే, ప్రళయకాల శివ తాండవ నృత్యం, చెడు కొడుకుల తల్తెన్చాక మానదు లేదా ఈ చైతన్యం. అమ్మమాటిది కన్నా నీకొరకు, జన్మమన్నది ఒంటరి కదా వరకు, ఎదలో బలమే నడిపే తోడుగా, జగమే గెలిచే పదమై సాగరాయా. ధీర ధీర ధీర, ధీర ఓ రణధీరా, రారా రారా తెర తీసే వెలుగై ర రావు. ధీర ధీర ధీర, ధీర ఓ రణధీరా, రారా రారా తెర తీసే వెలుగై ర రావు. ధీర ధీర ధీర, ధీర ఓ రణధీరా, రారా రారా తెర తీసే వెలుగై ర రావు. ధీర ధీర ధీర, ధీర ఓ రణధీరా, రారా రారా తెర తీసే వెలుగై ర రావు."
208,Aakasam Nee Haddhu Ra,Upbeat,2020,"Anurag Kulkarni,Dhanunjay","తానే నననానే నననానే నననానే తానే నననానే నననానే నననానే. నడి గుండెళ్ళో నిప్పుంది మండిచూ దాన్నీ, ఆ మంటల్లో వెలిగించు నీ రేపటినీ, సుడిగుండాలు ఎదురైనా లెక్కించకు దేన్నీ, ఎదురీదాలి చేరాలి లక్ష్యాలనీ. ఒడ్డునా ఉండి రాల్లేస్తారు నీ పస తెలియని చెత్త జనాలు, రత్నంలా నువు తేలిననాడు మూసుకుపోవా వాగిన నోళ్ళు. ముక్క చెక్కలుగ విరిచెయ్ నీకెదురుపడిన చిక్కులని, ఉక్కు రెక్కలతొ ఎగరెయ్ నిను నమ్ముకున్న నీ కలని. తానే నననానే నననానే నననానే. అదిగో ఆకాశం నీ హద్ధురా. తానే నననానే నననానే నననానే. దాన్నందే అవకాశం వదలొద్దురా ఆఆ. ఇటురా అని చిటికేసావో గెలుపెందుకు దిగి రావాలి, నీకూ మరి మిగితా వాళ్ళకి తేడా ఎట్టా తెలియాలి. గర్వంగా చెప్పుకునేందుకు నీకూ ఓ కథ కావాలి, చెమటోడ్చి పొందినా విజయం పరిమళమై నిను చేరాలి. కన్ను చిన్నగున్నాదంటూ చిన్నా కలలు కంటావా, లేనిపోని పేదరికంతో వాటికి గిరి గీస్తావా, మట్టిలోకి వెలిపోయావో మళ్ళి పుట్టి వస్తావా, ఉన్నాదొక్క జీవితమే ఊరికే వదిలేస్తావా, మనసు పెట్టి పనిచేస్తూ ఓర్పుతోనే అడుగేసెయ్, నీదైన మార్పుగ"
209,Sooride,Upbeat,2023,Harini Ivaturi,సూరీడే గొడుగు పట్టి వచ్చాడే భుజము తట్టి చిమ్మ చీకటిలోను నీడల ఉండెటోడు రెప్పనొదలక కాపు కాసెడి కన్ను వాడూ ఆకాశం ఇడిసిపెట్టి ముద్దెట్టె పొలము మట్టి ఎండ భగ భగ తీర్చే చినుకుల దూకుతాడూ ముప్పు కలగక ముందు నిలబడి ఆపుతాడూ ఏ ఏ ఖడ్గమొకడైతే కలహాలు ఒకడివిలే ఒకడు గర్జన ఒకడు ఉప్పెన వెరసి ప్రళయాలే సైగ ఒకడు సైన్యమొకడు కలిసి కదిలితే కధనమే ఒకరికొకరని నమ్మి నడిచిన స్నేహమే ఇదిలే నూరెళ్లు నిలవాలే ఏ ఏ ఏ కంచె ఒకడైతే అది మించె వాడొకడే ఒకడు చిచ్చుర ఒకడు తెమ్మెర కలిసి ధహనాలే వేగమొకడు త్యాగమొకడు గతము మరువని గమనమే ఒకరికొకరని నమ్మి నడిచిన స్నేహమే ఇదిలే నూరేళ్ళు నిలవాలే సూరీడే గొడుగు పట్టి వచ్చాడే భుజము తట్టి చిమ్మ చీకటిలోను నీడల ఉండెటోడు రెప్పనొదలక కాపు కాసెడి కన్ను వాడూ
210,Chal Chalo Chalo,Upbeat,2015,"Raghu Dixit,Sooraj Santhosh",రాజ్యం గెలిసినోడు రాజవుతాడు రాజ్యం ఇడిసినోడే రామ సంద్రుడు యుద్ధం గెలిసేటోడు వీరుడు సూరుడు యుద్ధం ఇడిసెయ్తోడేయ్ దేవుడు. చల్ చలో చలో లైఫ్ సి మిలో ఇదో కొత్త చాప్టర్ జస్ట్ సే హలో. చల్ చలో చలో చలించు దారిలో ప్రతి ఒక్క ఛాలెంజ్ పేస్ చేయ్యరో తీపితో పాటుగా ఓ కొత్త చేదు అందించడం జిందగీకి అలవాటే కష్టమే రాదనే గారంటీ లేదు పడేసి పరుగు నేర్పు ఆటే బ్రతుకంటే అందుకో హత్తుకో ముందరున్న ఈ క్షణాన్ని. చల్ చలో చలో లైఫ్ సి మిలో ఇదో కొత్త చాప్టర్ జస్ట్ సే హలో. చల్ చలో చలో చలించు దారిలో ప్రతి ఒక్క ఛాలెంజ్ పేస్ చేయ్యరో. కన్నీళ్ళెందుకు ఉప్పుగుంటాయ్ తీయగుంటే కడదాకా వదలవు గనక కష్టలెందుకు బరువుగుంటాయ్ తేలికైతే బ్రతుకంతా మోస్తూ దించావ్ గనక ఎదురే లేని నీకు కాక ఎవరికెదురు పడుతుంది నిప్పుల నడక చూద్దాం అంటూ నీ తడాఖా వచ్చింది ఇబ్బంది నువ్వున్న ఇంటి గడప దాకా. పడ్డ వాడే కష్ట పడ్డ వాడే పైకి లేచే ఉగ్ర హోరు ఒక్
211,Nuvvani Idhi Needhani,Upbeat,2019,Karthik,నువ్వని ఇది నీదని ఇది నిజమని అనుకున్నావా కాదుగా నువ్వనుకుంది ఇది కాదుగా నువ్వేతికింది ఏదని బదులేదని ఒక ప్రశ్నల నిలుచున్నావా కాలమే వెనుతిరగనిది ఇవ్వదు నువ్వడిగినది. ఏ వేలూ పట్టుకుని నేర్చేదే నడకంటే ఒంటరిగా నేర్చాడా ఎవడైనా ఓ సాయం అందుకొని సాగేదే బ్రతుకంటే ఒంటరిగా బ్రతికాడా ఎవడైనా. పదుగురు మెచ్చిన ఈ ఆనందం నీ ఒక్కడిదైనా నిను గెలిపించిన ఓ చిరునవ్వే వెనుకేయ్ దాగేనా. నువ్వని ఇది నీదని ఇది నిజమని అనుకున్నావా కాదుగా నువ్వనుకుంది ఇది కాదుగా నువ్వేతికింది ఏదని బదులేదని ఒక ప్రశ్నల నిలుచున్నావా కాలమే వెనుతిరగనిది ఇవ్వదు నువ్వడిగినది. ఓహ్ ఊపిరి మొత్తం ఉప్పెనలా పొంగిందా నీ పయనం మల్లి కొత్తగా మొదలయ్యిందా ఇన్నాళ్లు ఆకాశం ఆపేసిందా ఆ ఎత్తే కరిగి నేలెయ్ కనిపించిందా గెలుపై ఓ గెలుపై నీ పరుగెయ్ పూర్తయినా గమ్యం మిగిలాయి ఉందా. రమ్మని నిను రమ్మని ఓ స్నేహమే పిలిచిందిగా ఎన్నడ
212,Rarandoi Veduka Choodham,Upbeat,2017,"Ranjith,Gopika Purnima","బుగ్గ చుక్క పెట్టుకుంది సీతమ్మ, సీతమ్మ, కంటి నిండా ఆశలతో మా సీతమ్మ. తాళిబొట్టు చేతబట్టి రామయ్య, రామయ్య, సీత చెయ్యి పట్ట వచ్చే మా రామయ్య. పెద్దలు వేసిన అక్షతలు, దేవుడు పంపిన దీవెనలు. దివిలో కుదిరిన దంపతులు, ఈ చోట కలిశారు ఇవ్వాల్టికి. ఆటలు పాటలు వేడుకలు, మాటకు మాటలు అల్లరులు. తియ్యని గుర్తుల కానుకలు, వెన్నంటి ఉంటాయి వెయ్యేళ్ళకి. రా రండోయ్ వేడుక చూద్దాం, ఈ సీతమ్మని రామయ్యన్ని ఒకటిగా చేసేద్దాం. ఆడేద్దాం, పాడేద్దాం, నవేద్దాం, ఆ నవేద్దాం. వారు వీరని తేడా లేదు, లేదులే ఇకపై ఒక్కటే పరివారం. పేరు పేరునా పిలిచే వరసలై, ఎదిగే ప్రేమలే గుణకారం. ఇద్దరి కూడిక కాదు, ఇది వందల మనసుల కలయికిది. ఈ సుముహూర్తమే వారధిగా, భూగోళమే చిన్నదవుతున్నది. రా రండోయ్ వేడుక చూద్దాం, వేద మంత్రాలతో ఈ జంటని ఆలు మగలందం. ఆడేద్దాం, పాడేద్దాం, నవేద్దాం, ఆ నవేద్దాం. కాలం కొమ్మపై మెరిసే నవ్వులై, కలిసే గువ్వలే బంధువులు. కదిలే దారిలో మెదిలే గురుతులై, నడిపే దివ్వెలే వేడుకలు. ఎపుడో తెలిసిన చుట్టాలు, ఇపుడే కలిసిన స్నేహితులు. మనసుని తడిమిన సంగతులు, కనువిందుగా ఉంది ఈ పందిరి. రా రండోయ్ వేడుక చూద్దాం, అయిన వాళ్ళందరం ఈ వెళిలా ఒక్కటిగా చేరాం. ఆడేద్దాం, పాడేద్దాం, నవేద్దాం, ఆ నవేద్దాం."
213,Anaganaga,Upbeat,2018,Armaan Malik,చీకటిలాంటి పగటిపూట కత్తుల్లాంటి పూలతోట జరిగిందొక్క వింతవేట పులిపై పడిన లేడి కథ వింటారా. హే జాబిలీ రాణి రాతిరంతా జాలే లేని పిల్ల వెంట అలికిడిలేని అల్లరంతా గుండెల్లోకి దూరి అది చూస్తారా. చుట్టూ ఎవ్వరు లేరు సాయం ఎవ్వరు రారు చుట్టూ ఎవ్వరు లేరు సాయం ఎవ్వరు రారు నాపై నేనే ప్రకటిస్తున్న ఇదేమి పోరు.అణగణగనగా అరవింద అట తన పేరు అందానికి సొంతూరు అందుకనే ఆ పొగరు అరెరెరెరెరె అటు చూస్తే కుర్రాళ్ళు అసలమైపోతారు అన్యాయం కదా ఇది అన్నారు ఎవరు. ప్రతి నిముషము తనవెంట పడిగాపులు పడుతుంటే ఒకసారి కూడా చూడకుండా క్రీగంట ఏమున్నదో తన చెంత ఇంకెవరికి లెదంతా అయస్కాంతమల్లె లాగుతుంది నన్ను చూస్తూనే ఆ కాంత.తాను ఎంత చేరువనున్న అద్దంలో ఉండే ప్రతిబింబం అందునా అంతా మాయల ఉంది అయినా హాయిగా ఉంది భ్రమల ఉన్న బానే ఉందే ఇదేమి తీరు.మనవే వినవె అరవింద సరేలే అనవే కనువిందా వలపే మనకి రాసిందే కాదంటే సరిపోతుందా.మనవే వినవె అరవింద సరేలే అనవే కనువిందా వలపే మనకి రాసిందే కాదంటే సరిపోతుందా.
214,Le Padha Padhaa Lo,Upbeat,2016,Armaan Malik,"దారులే సాగే దూరమే పెరిగే హోరుగాలిలా పరుగందుకో నేడే. సందేహమే నీలో ఎందుకు, నీ గమ్యమే చేరేటందుకు. లే పద పద, లే పద పద, లే పద పద, లే పద పద. ఎగిరేవు నువ్వే మేఘాలపైకి, నీ దమ్ము నువ్వే గుర్తించితే. నీలోని శక్తే నీ యావదాస్తి, నిన్నాపతరమా చెలరేగితే. సందేహమే ఇక నీకెందుకు, సుడిగాలివై పదరా ముందుకు. లే పద పద, లే పద పద, లే పద పద, లే పద పద. ఏ వెలుతురైనా ఏ చీకటైనా, చూడాలి నువ్వే నీ లక్ష్యమే. ఏ దివ్వె కోసం వెతికేవు నువ్వే, నీలోనే ఓ దీపమే. వేరెవరిదో దారే ఎందుకు, నీ దారిలో పొర ముందుకు. లే పద పద, లే పద పద, లే పద పద, లే పద పద."
