name ,mood,year,artist,lyrics
Telisiney Na Nuvvey,Sad,2017,L.V.Revanth,తెలిసేనే నా నువ్వే నా నువ్వు కాదని తెలిసేనే నీ నేనే నీ నేను కానని నాలో సగం ఇక లేదూ అని ఆ నిన్నలే నన్ను చూసి నువ్వేలే మరునాడు అన్నదే ఇక ఉందబోదని అన్నాదీక్షణం హ్మ్మ్ హ్మ్మ్ హ్మ్మ్ .. నా ప్రాణం నువ్వే నా గుండె నువ్వే గుండెల్లో మండే నిప్పై చేరావే ఊహలకే తెలియనిదే జరిగేనులే ఇప్పుడిలా నువ్వు నేను అను మాటే ఇకపై ఉండదులే ఏంటిలా తప్పు ఏదో జరిగేనె రెప్ప పాటులో ఓహ్ చెప్పలేని వేదనగా ఉప్పెనల్లె తరుముతోందే నువ్వు లేనిదే మరి నేను లేనని అన్న ఈ క్షణం నా అంతం నువ్వే నా పంతం నువ్వే నా పంతం ఎంతా ఈ విశ్వమంతా నా అంతం నువ్వే నా పంతం నువ్వే నా పంతం ఎంతా ఈ విశ్వమంతా
Em Cheppanu,Sad,2018,Karthik,ఎం చెప్పను నిన్నెలా ఆపను ఓ ప్రాణమా నిన్నెలా వదలను ఏ ప్రశ్నను ఎవరినేం అడగను ఓ మౌనమా నిన్నెలా దాటను పెదాల పైన నవ్వు పూత పూసుకున్న నేనే కన్నీటితో ఈవేళ దాన్నెలా చేరపను తన జ్ఞాపకమైన తగదని మనసునేలా మార్చను ఈ ప్రేమకి ఏమిటి వేడుక ఎ జన్మకి జంటగా ఉండక ఇదివరకలవాటు లేనిది మనసుకి ఈ మమత కొత్తది దొరకక దొరికింది గనుక చేయి జారుతుంటే ఎం తోచకున్నది ఊరించిన నిలిమబ్బుని ఉహించని గాలి తాకిడి ఎటువైపో తరుముతుంటే కళ్ళారా చూస్తూ ఎల్లా మరి ఎడారి వైపు వెళ్లకంటూ ఆపి వాన చెలిని తడారుతున్న గుండెలోకి రా రమ్మని తన వెంటపడి ఇటు తిసుకురాలేవా ఉపిరి ఈ ప్రేమకి ఏమిటి వేడుకా ఎ జన్మకి జంటగా ఉండక
O Manasa O Manasa,Sad,2000,Ravi Varma,ఓ మనసా ఓ మనసా చెబితే వినవా నువ్వు నీ మమతే మాయ కదా నిజమే కనవా నువ్వు చెలియ గుండె తాకలేక పలకనందే నా మౌనం చెలిమి వెంట సాగలేక శిల అయిందే నా ప్రాణం గతమే మరిచి బ్రతకాలే మనసా ఎగసి పడే అల కోసం దిగివస్తుందా ఆకాశం తపన పడి ఏం లాభం అందని జాబిలి జత కోసం కలిసి ఉన్న కొంత కాలం వెనక జన్మ వరమనుకో కలిసి రాని ప్రేమ తీరం తీరిపోయిన రుణమనుకో మిగిలే స్మృతులే వరమనుకో మనసా ఓ మనసా ఓ మనసా చెబితే వినవా నువ్వు నీ మమతే మాయ కదా నిజమే కనవా నువ్వు తన ఒడిలో పొదువుకుని భద్రంగా నడిపే నౌక తననొదిలి వెళ్ళకని ఏ బంధాన్ని కోరదుగా కడలిలోనే ఆగుతుందా కదలనంటు ఏ పయనం వెలుగు వైపు చూడనందా నిదర లేచే నా నయనం కరిగే కలలే తరిమే ఓ మనసా ఓ మనసా చెబితే వినవా నువ్వు నీ మమతే మాయ కదా నిజమే కనవా నువ్వు
Love Me Again ,Sad,2015,Sooraj Santhosh,నిదరోని తూరుపు కోసం సూరీడే మళ్ళీ రాడా... జతలేని తారల కోసం జాబిల్లే మళ్ళీ రాదా... అడుగెయ్యని తీరం కోసం అలలైనా మళ్ళీ రావా... అడుగుతున్నా నిన్నే మళ్ళీ... ప్రేమించైవా... ఓ.... లవ్ మి‌ ఎగైన్... లవ్ మి‌ ఎగైన్... లవ్ మి‌ ఎగైన్... లవ్ మి‌ ఎగైన్... కలలైనా కన్నీళ్లయినా... కన్నులలో మళ్ళీ రావా... గుబులైనా సంబరమైనా... గుండెలలొ మళ్ళీ రాదా... మళ్ళీ చూసేవు మళ్ళీ నవ్వేవు... నిన్న మొన్న చేసిందే మళ్ళీ మళ్ళీ చేసేవూ... చూపిన కోపాన్నే మళ్ళీ నాపై చూపైవూ... మళ్ళీ నన్నే ప్రేమించరాలేవా.... ఓ.... లవ్ మి‌ ఎగైన్... లవ్ మి‌ ఎగైన్... లవ్ మి‌ ఎగైన్... లవ్ మి‌ ఎగైన్... మనసారా బతిమాలానే... మన్నించవే నను తొలిసారి... పొరపాటే జరగదు లేవే... ప్రేమించవే రెండోసారి... మళ్ళీ వస్తాను మళ్ళీ చూస్తాను... మళ్ళీ నీకె పరిచయమౌతాను... మళ్ళీ నా మనసు నీకందిస్తాను... అలవాటుగా నన్ను ప్రేమించవా... ఓ..లవ్ మి‌ ఎగైన్... లవ్ మి‌ ఎగైన్... లవ్ మి‌ ఎగైన్... లవ్ మి‌ ఎగైన్..
Naa Madhi,Sad,2022,Dhanunjaya Seepana,నా మది పువ్వది వాడిపోతూ ఉన్నదీ చిన్నది చెయ్ విడి చిత్రహింసే అయినది నిన్ను తలచుకు మతి చెడిపోను దేవుడా అని దిగులైపోను పైకి బాధగ కనపడనీ మనసు పగిలిన మనిషినిలే నా మది పువ్వది వాడిపోతూ ఉన్నదీ చిన్నది చెయ్ విడి చిత్రహింసే అయినది నిజమే నాదేలే పాపం అతిగా ప్రేమిస్తే ఫలితం శాపం మనసే నాలోని లోపం కనుకే గుండెల్లో మిగిలే గాయం నీడే ఇక లేదులే నా లోకం చీకట మాటే తెగి రాదులే మౌనాలు దాటగా తప్పంతా నాదే పిల్లా నీ ప్రేమకొట్టే జల్లా నా మది పువ్వది వాడిపోతూ ఉన్నదీ చిన్నది చెయ్ విడి చిత్రహింసే అయినది నిన్ను తలచుకు మతి చెడిపోను దేవుడా అని దిగులైపోను పైకి బాధగ కనపడనీ మనసు పగిలిన మనిషినిలే నా మది పువ్వది వాడిపోతూ ఉన్నదీ చిన్నది చెయ్ విడి చిత్రహింసే అయినది
Ori Vaari,Sad,2023,Santhosh Narayan,ఓరి వారి నీది గాదురా పోరి ఇడిసెయ్ రా ఇంగ ఒడిసెను దారి ఓపారి అవ్వ ఒడిలో దూరి మరిసెయ్ రా సిన్న మొల్లిగా మారి బాల్యమే గొప్పది బాధ మర్షిపోతది చందమామ రాదనే నిజము నమ్మనంటది చిన్న పల్లీపట్టీకె ఏడుపాపి చూస్తది కోడె ఈడు సెడ్డది నిజాన్ని కోడై కూస్తది ఓరి వారి నీది గాదురా పోరి బజ్జోరా సంటి బిడ్డగా మారి హో హో హో హో హో హోహో హో హో ఓహో హోహో హో హో హో హో హో హోహో హో హో ఓహో హోహో హో ప్రేమ నాలో దాచిన చిన్న బొడ్డెమ్మగానే గావురంగా నిన్ను నేనే వద్దనీ గిరిగీసుకున్న గింత దెల్వకుంటా రగిలి నా వేదనే దీపమోలే వెట్టినా పేర్చినా బతుకమ్మనే కన్నీళ్ళలో సాగదోలిన ఇడిచేసి వదిలేశిన రెక్కలిరిగినట్టి ఈగ సుడిగాలిలో చిక్కినట్టు దిక్కు మొక్కు లేని కన్ను ఎక్కి ఎక్కి ఎడ్శినట్టు నీకు దగ్గరవ్వలేక దూరమయ్యే దారిలేక చితికిపోయే నా బతుకిలా గుండె పుండు మీద గొడ్డు కారమద్ది గుద్దుతుంటే గుక్కపెట్టి ఏడవలేని జన్మా ఓ ఓఓ ఓ ఓఓ ఓ ఊ ఊ ఊ ఊ ఊ ఊ ఊ హో హో హో హో హో హోహో హో హో ఓహో హోహో
Ninnele,Sad,2022,"Anurag Kulkarni,Shreya Ghoshal",నిన్నేలే నిన్నేలే నిన్నే నమ్మేలే ఏముంది నా నేరమే నిన్నేలే నిన్నేలే నిన్నే కోరాలే ఏమిస్తే దక్కేవులే నే నిన్నటి రవినే నువ్వు రేపటి శశివే నేనంటూ వెళ్లాకే నువ్వొస్తావు పైకే ఇది తప్పని మజిలీ ఇది జాముల బదిలీ నువ్వే వెన్నెలే నీవే నీవే వెలుగుల వెన్నెలవే నీవే నీవే తరగని వెన్నెలవే నీవల్లే నీవల్లే నేనే ఉన్నాలే పోవొద్దు ఆ దూరమే వస్తాలే వస్తాలే నేను వస్తాలే నువ్వెళ్ళే ఆ తీరమే నేనడిగే చిన్ని సాయమే చేయగనే లేదు నీకు సమయమే సాయం అడిగే పనే నీకు లేదే అవధులు లేని అనంతం నీవే నీవే వెలుగుల వెన్నెలవే నీవే నీవే తరగని వెన్నెలవే
Pothe Ponee  Poraa,Sad,2014,Manoj,పోతే పోనీ పోరా... ఈ ప్రేమలఇలలో గెలిచినదెవరు రా పోతే పోనీ పోరా... పొతే పోనీ ఒక్కడైనా ఉన్నాడా ఈ లవ్ లో లాభం పడ్డోడు అరె ఎవ్వడైనా ఉన్నాడా ఈ ప్యార్ లో హ్యాపీ అయినోడు అరె ఒక్కడైనా ఉన్నాడా ఈ లవ్ లో లాభం పడ్డోడు అరె ఎవ్వడైనా ఉన్నాడా ఈ ప్యార్ లో హ్యాపీ అయినోడు హేయ్ తాతల నుంచి ఇప్పడిదాక లవ్ కు ఎండే త్రాగేది సీరియస్ గా ప్రేమించామ అయిపోతాం రా కామెడీ ఈ ప్రేమా దోమా లేదురా మామా గుండెను ఖైమా కొడతారు మామా ఇప్పుటి నుంచి లవ్ అనే మాటను బ్యానే చేయ్యరో ....... హేయ్ దేవదాసు అవ్వకు బాసు మజ్ను లాగా మారకు బాసు ఈ కాదల్ బాదల్ ఏది వద్దు తియ్యారా మామా మందు గ్లాసూ అరె ఇష్క్ లేదు .... లేదురా బాసు రిస్కు లేదు ... లేదురా బాసు ఈ దిల్ ప్రేమ మిక్సింగ్ కన్నా క్వార్టర్ వాటర్ మిక్సింగ్ మిన్న పోనీ పోనీ పోనీ పోనీ పోనీ పోనీ పోరి చూపు సోకిందంటే సావు డొప్పు మోగినట్టే స్మైల్ గాని ఇచ్చిందంటే సునామీలో స్విమ్ చేసినట్టే టచ్ తోనే పిచ్చేక్కేంచి హాచ్ కుక్కలాగా తిప్పి కంటి నిద్ర చంపేస్తుంది ఊహల్లోకి నెట్టేస్తుంది లవ్ యు గాని చెప్పిందంటే నరకంలోకి ఫ్రీ ఎంట్రీ మామా ఈ
Choododde Nannu,Sad,2005,"Sumangaly,Tippu",చూడొద్దే నను చూడొద్దే చురకత్తిలాగ నను చూడొద్దే వెళ్ళోద్దె వదిలెళ్ళొద్దే మది గూడు దాటి వదిలెళ్ళోద్దే అపుడు పంచిన నీ మనసే ఆపని అనవద్దే ఇప్పుడు పెరిగిన వడ్డీతో ఇమ్మని అడగొద్దే.. చూడొద్దే నను చూడొద్దే చురకత్తిలాగ నను చూడొద్దే వెళ్ళోద్దె వదిలెళ్ళొద్దే మది గూడు దాటి వదిలెళ్ళోద్దే వద్దు వద్దు అంటు నేనున్నా వయసే గిల్లింది నువ్వేగా పో పో పొమ్మంటూ నేనున్నా పొగలా అల్లింది నువ్వేగా నిదరొస్తున్న హృదయాన్ని లాగింది నువ్వేగా నలుపై ఉన్న రాతిరికి రంగులు నువ్వేగా నాతో నడిచే నా నీడ నీతో నడిపావే నాలో నిలిచే నా ప్రణమా నువ్వు అయి నిలిచావే హా హా.. వద్దు వద్దంటు నువ్వున్నా వలపే పుట్టింది నీ పైనా కాదు కాదంటు నువ్వున్నా కడలే పొంగింది నాలోన కన్నేల తీరంలో పడవల్లే నిలుచున్నా సుడిగుండాల శృతిలయలో పిలుపే ఇస్తున్నా.. మంటలు తగిలిన పుత్తడిలో మెరుపే కలుగునులే ఒంటిగా తిరిగిన ఇద్దరిలో ప్రేమే పెరుగునులే చూడొద్దే నను చూడొద్దే చురకత్తిలాగ నను చూడొద్దే వెళ్ళోద్దె వదిలెళ్ళొద్దే మది గూడు దాటి వదిలెళ్ళోద్దే అపుడు ప
Yellipoke Syamala,Sad,2016,"Mickey J. Meyer,Karthik",నువ్వు పక్కనుంటే బాగుంటాదే నీ పక్కనుంటే బాగుంటాదే నువ్వు కారమెట్టి పెట్టినా కమ్మగుంటాదే కత్తి పెట్టి గుచ్చినా సమ్మగుంటాదే అట్ట వచ్చి ఇట్ట నువ్వు తిప్పుకుంట ఎళ్ళిపోతే ఎక్కడో కలుక్కుమంటాదే ఎళ్ళిపోకె శ్యామలా ఎళ్ళమాకె శ్యామలా నువ్వు వెళ్ళిపోతే అస్సలా ఊపిరాడదంట లోపలా ఎళ్ళిపోకె శ్యామలా ఎక్కి ఎక్కి ఏడవ లేనే ఎదవ మగ పుటక గుండె బెరికినట్టుందే నువ్వే ఎళ్ళినాక ఎళ్ళిపోకె శ్యామలా హే ఎళ్ళమాకె శ్యామలా నువ్వు వెళ్ళిపోతే అస్సలా ఊపిరాడదంట లోపలా ఎళ్ళిపోకె శ్యామలా హ్మ్ నరం లేని నాలిక నిన్ను ఎలిపోమ్మని పంపిందాయే రథం లేని గుర్రం లాగ బ్రతుకే చాతికిలపడిపోయే నీ పోస్టరు అడ్డంగా చింపేసాననుకున్న గుండెల్లో నీదే సినిమా ఆడుతున్నదే స్విచ్ ఏస్తే ఎలిగెదా ఉఫ్ఫ్ అంటే ఆరేదా ఊపిరిలో మంటల్లె నీ ప్రేమే ఉన్నదే ప్రాణాన్నే పట్టకారేసి పట్టేసి నీతో పట్టుకుపోమాకే గేలిచేసి నన్నొదిలేసి సీకటైన కోటలాగా సేయ్యమాకే నువ్వు ఎల్లిపోకే శ్యామలా నువ్వేల్లమకే శ్యామలా ఏమిబాగోలేదే లోపలా నువ్వు ఎల్లిపోకే ఎల్లిపోకే ఎల్ల
Once Upon aTime,Sad,2017,Arun Gopan,వన్స్ అపాన్ ఏ టైం లో వైజాగ్ బీచ్ రోడ్ లో ఏవండోయ్ మాస్టర్ అంటూ విష్ చేసింది నన్ను వన్స్ అపాన్ ఏ టైం లో వైజాగ్ బీచ్ రోడ్ లో ఏవండోయ్ మాస్టర్ అంటూ విష్ చేసింది నన్ను అల్లి బిల్లీ నడుమును తిప్పి ‘ఐ లవ్ యు ’ చెవిలోన చెప్పి తప్పుకుంది కళ్ళు రెండు కప్పి అందుకేగా గుండెకింద నొప్పి బ్రేకప్పు బ్రేకప్పు బ్రేకప్పు కింగ్ లాంటి ఉమా గాడి లైఫ్ ఏ ప్యాక్-అప్ బ్రేకప్పు బ్రేకప్పు బ్రేకప్పు కింగ్ లాంటి ఉమా గాడి లైఫ్ ఏ ప్యాక్-అప్ బైకేన్కా తాను ఎక్కేసి కూర్చుంది చేతుల్ని వేసింది లైఫ్ అంత నన్ను వదలనంటూ ఒట్టేసి చెప్పింది సోల్ మెట్ ఏ దొరికిందనుకుంటే అంతలో సోలో గ వదిలేసేలిపోయెను సంతలో తోక చుక్కల్లే న వెంట వచ్చి తేనె చుక్కల్లే తీయగా నచ్చి బుగ్గ చుక్కాని పెట్టుకు వస్తానని చుక్కలు చూపిందే మందు చుక్కే మిగిలిందే బ్రేకప్పు బ్రేకప్పు బ్రేకప్పు కింగ్ లాంటి ఉమా గాడి లైఫ్ ఏ ప్యాక్-అప్ బ్రేకప్పు బ్రేకప్పు బ్రేకప్పు కింగ్ లాంటి ఉమా గాడి లైఫ్ ఏ ప్యాక్-అప్ బ్రేకప్పు బ్రేకప్పు బ్రేకప్పు కింగ్ లాంటి ఉమా గాడి లైఫ్ ఏ ప్యాక్-అప్ నీ సుఖ
Yedho,Sad,2010,"Yuvan Shankar Raja,S.P.Charan",ఏదో అలజడి నను పిలిచే కళ్లే దాటి కలలే నడిచే చుట్టూ అంతా నాటకమైతే నటన రాక నే వెళ్ళిపోతే కాలం కదిలి నన్నే వదిలి నీతో సాగి పోయనా… పోదే పొడిచి నింగే విడిచి వెన్నెల వెళ్ళిపోవునా… పిల్ల నీ తలపులతో.. ఎదకి ప్రాణం పోసానే.. నీకే దూరం అవుతున్నా… ఎదని వదిలి వెళుతున్నా… నన్నే నువ్వుగా మార్చా నేనిక ఏమి కాక మిగిలానిల ఎటూ వెళ్ళక ఏమి తోచక ఉన్న వేచి నువ్వు లేక ఎల నీ రాక జీవితంలో నా పగలు రేయిని మరిపించిందిలే నువ్వు వెంట లేకపోతే నా చావుకు బతుకుకు తేడా లేదులే మంటే రేపు తడి జ్వాలముఖి కన్నీల్లారవే ఓ చెలియా నువ్వే జ్ఞాపకం అయ్యావు ఈ క్షణం అంతేనా ఓ… పిల్ల నీ తలపులతో.. ఎదకి ప్రాణం పోసానే.. నీకే దూరం అవుతున్నా… ఎదని వదిలి వెళుతున్నా… ఏదో అలజడి నను పిలిచే కళ్లే దాటి కలలే నడిచే చుట్టూ అంతా నాటకమైతే నటన రాక నే వెళ్ళిపోతే కాలం కదిలి నన్నే వదిలి నీతో సాగి పోయనా… పోదే పొడిచి నింగే విడిచి వెన్నెల వెళ్ళిపోవునా… పిల్ల నీ తలపులతో.. ఎదకి ప్రాణం పోసానే.. నీకే దూరం అవుతున్నా… ఎదని వదిలి వెళుతున్నా… ఓఓ.. ఓఓఓ… ఓఓ.. ఓఓఓ…
Marumallela Vaana,Sad,2011,Hemachandra Vedala,మరుమల్లెలా వాన మృదువైన నా చెలి పైన విరిసిన నవ్వుల్లో ముత్యాలే పోగేస్తున్న తారకవి ఎన్ని తళుకులో చాలవే రెండు కన్నులు మురిసినవి ఎన్ని మెరుపులో చూసి తన లోని ఓంపులు లాగి నన్ను కొడుతున్న లాలీ పడినట్టుంది విసుగు రాదు ఏమన్నా చంటి పాపాన మరుమల్లెలా వాన మృదువైన నా చెలి పైన విరిసిన నవ్వుల్లో ముత్యాలే పోగేస్తున్న జక్కన చెక్కిన శిల్పమే ఇక కనపడదే ఆ చైత్రము ఏ గ్రీష్మము నిను చూడగా సెలవడిగెనులే సృష్టిలో అద్భుతం నువ్వే కదా కాదనగలరా నిమిషానికే క్షణాలను ఓ లక్షగా మార్చే మనరా అలనాటి యుద్ధాలే జరుగుతాయేమో నీ లాంటి అందాన్ని తట్టుకో లేరేమో శ్రీ రాముడే శ్రీకృష్ణుడై మారేంతల ఆయువై నువ్వు ఆశవై ఓ గోషావై నువ్వు వినపడవా ప్రతి రాతిరి నీవు రేపటి ఓ రూపమై చెలి కనపడవా తీయని ఈ హాయిని నేనేమని కేనగలను ధన్యోష్మి అని ఈ జన్మని నీకంకితం ముడిపడగలను మనువాడ మన్నారు సప్త ఋషులంతా కొనియాడుతున్నారు అష్ట కవులే అంతా తారాగణం మనమే అని తెలిసిందెలా
 Baby U Gonna Miss Me,Sad,2015,Sagar,న న న నానా నా నా న న న నానా నా నా నీతో తిరిగిన అడుగే యూ టర్న్ తీసుకుందే నా ఈ సింగిల్ స్టేటస్ సడన్ గ నువ్విచ్చిందే ఓఓఓ ఓఓఓ నీ ప్లేస్ ఏ రీప్లేస్ అయ్యిందే ఓఓఓ ఓఓఓ కొత్థ గర్ల్ ఫ్రెండ్ వచ్చ్చేసిందే బేబీ ఐ నో యు గొన్న మిస్ మీ మిస్ మీ మిస్ మీ మిస్ మీ మిస్ మీ బేబీ ఐ నో యు గొన్న మిస్ మీ బేబీ ఐ నో యు గొన్న మిస్ మీ బేబీ ఐ నో యు గొన్న మిస్ మీ బేబీ ఐ నో యు గొన్న మిస్ మీ నీ పాత కిస్సుల్లో ఫ్లేవోర్ కన్నా ఈ కొత్థ కిస్ ఎదో టేస్ట్ఈ గుందే నీ పాత హుగ్గుల్లో వేడి కన్నా ఈ కొత్థ టచ్ ఎదో స్వీటుగుందే ఓఓఓ ఓఓఓ ఈ ఫ్రీడమ్ నువ్విచ్చిందే ఓఓఓ ఓఓఓ నా సెల్ఫీలే తన డీపీ అయ్యిందే బేబీ ఐ నో యు గొన్న మిస్ మీ బేబీ ఐ నో యు గొన్న మిస్ మీ బేబీ ఐ నో యు గొన్న మిస్ మీ బేబీ ఐ నో యు గొన్న మిస్ మీ నువ్ లవ్ చేసిన హార్ట్ పైన తానొఛ్చి తాపీగా తల వాల్చిందే నువ్ చేతులేసేటి షోల్డర్ పైన తన పంటితో టాటూ వేసేసిందే ఓఓఓ ఓఓఓ నీ కళ్ళల్లో జెలసి ఉందే ఓఓఓ ఓఓఓ నీ మిస్టేక్ ఏ ప్లస్ అయ్యిందే బేబీ ఐ నో యు గొన్న మిస్ మీ మిస్ మీ మిస్ మీ మిస్ మీ మిస్ మీ మిస్ మీ బేబీ ఐ నో యు గొన్న మిస్ మీ బేబీ ఐ నో యు గొన్న మిస్ మీ
Endhukila,Sad,2010,"M.M Keervani,Karthik",ఎందుకే ఇలా గుండె లోపలా ఇంత మంట రేపుతావు అందని కలా అన్ని వైపులా అల్లుకోకిలా ఆగనీక సాగనీక ఎన్నాళ్లిలా వెంటాడుతు వేధించాలా మంటై నను సాధించాలా కన్నీటిని కురిపించాలా జ్ఞాపకమై రగిలించాలా మరుపన్నదే రానియ్యవా దయ లేని స్నేహమా ఎందుకే ఇలా గుండె లోపలా ఇంత మంట రేపుతావు అందని కలా అన్ని వైపులా అల్లుకోకిలా ఆగనీక సాగనీక ఎన్నాళ్లిలా తప్పదని నిను తప్పుకుని వెతకాలి కొత్త దారి నిప్పులతో మది నింపుకుని బ్రతకాలి బాటసారి జంటగా చితి మంటగా గతమంత వెంట వుందిగా వొంటిగా నను ఎన్నడూ వొదిలుండనందిగా నువ్వు నీ చిరునవ్వు చేరని చోటే కావాలి ఉందో లేదో ఈ లోకంలో నీకే తెలియాలి ఎందుకే ఇలా గుండె లోపలా ఇంత మంట రేపుతావు అందని కలా అన్ని వైపులా అల్లుకోకిలా ఆగనీక సాగనీక ఎన్నాళ్లిలా ఆపకిలా ఆనాటి కలా అడుగడుగు తూలిపోగా రేపకిలా కన్నీటి అలా ఏ వెలుగు చూడనీక జన్మలో నువు లేవని ఇకనైన నన్ను నమ్మనీ నిన్నలో వదిలేయని ఇన్నాళ్ల ఆశనీ చెంతే వున్నా సొంతం కావని నిందించే కన్నా నన్నే నేను వెలి వేసుకుని దూరం అవుతున్నా
Hrudayam,Sad,2008,Hemachandra Vedala,హృదయం ఓర్చుకోలేనిది గాయం ఇక పై తలచుకోరానిది ఈ నిజం పెదవులు విడిరాదా నిలువవే కడ దాకా జీవంలో ఒదగవే ఒంటరిగా లో లో ముగిసే మౌనంగా ఓ ఓ ఒఒఒఒఒ ఓ ఓ ఒఒఒఒఒ హృదయం ఓర్చుకోలేనిది గాయం ఇక పై తలచుకోరానిది ఈ నిజం ఊహల లోకంలో ఎగరకు అన్నావే తేలని మైకంలో పడకని అపావే ఇతరుల చిరు నవ్వుల్లో నను వెలిగించావే ప్రేమా మరి నా కను పాపల్లో నలుపై నిలిచావేమ్మా తెల్లవారి తొలి కాంతి నీవో బలి కోరు పంతానివో అని ఎవరినడగాలి ఏమని చెప్పాలి ఓ ఓ ఓ ఓ ఓ హృదయం ఓర్చుకోలేనిది గాయం ఇక పై తలచుకోరానిది ఈ నిజం వెచ్చని ఊపిరిగా వెలిగే సూరీడు చల్లని చూపులతో దీవెనలిస్తాడు అంతటి దూరం ఉంటే బ్రతికించే వరమౌతాడు చెంతకి చేరాడంటే చితిమంటే అవుతాడు హలాహలం నాకు సొంతం నువ్వు తీసుకో అమృతం అనుకుంటే ఆ ప్రేమే ప్రేమ కాగలదా ఓ ఓ ఓ ఓ ఓ హృదయం ఓర్చుకోలేనిది గాయం ఇక పై తలచుకోరానిది ఈ నిజం
Gelupu Thalupule,Sad,2011,Sreerama Chandra,గెలుపు తలుపులే తీసే ఆకాశమే నేడు నా కోసమే అడుగు మెరుపులా మారే ఆనందమే వీడదీ బంధమే ఎటువైపూ వెలుతున్నా వెలుగుల్నే చూస్తున్నా మెరిసావే రంగుల్లోనా కల తీరే సమయానా అల నేనై లేస్తున్నా అనుకుందే చేసేస్తున్నా దారులన్ని నాతో పాటుగా ఊయలూగి పాటే పాడగా నను వీడి కదలదు కాలమొక క్షణమైనా గెలుపు తలుపులే తీసే ఆకాశమే నేడు నా కోసమే ఎదలో ఆశలన్నీ ఎదిగే కళ్ళ ముందరే ఎగిరే ఊహలన్నీ నిజమై నన్ను చేరెలే సందేహమేది లేదుగా సంతోషమంత నాదిగా చుక్కల్లో చేరి చూపగా ఉప్పొంగుతున్న హోరుగా చిందేసి పాదమాడగా దిక్కుల్ని మీటి వీణగా చెలరేగి కదిలెను గాలి తరగలే పైనా గెలుపు తలుపులే తీసే ఆకాశమే నేడు నా కోసమే అలుపే రాదు అంటూ కొలిచా నింగి అంచులనే జగమే ఏలుకుంటూ పరిచా కోటి కాంతులే ఇవ్వాల గుండెలో ఇలా చల్లారిపోని శ్వాసలా కమ్మేసుకుందే నీ కలా ఇన్నాళ్ళు లేని లోటులా తెల్లారిపోని రేయిలా నన్నల్లుకుంటె నువ్విలా నను నేను గెలిచిన ఒంటరిగా నిలిచానే గెలుపు తలుపులే తీసే ఆకాశమే నేడు నా కోసమే
Cheliya Cheliya,Sad,2002,Shaan,చెలియా చెలియా చేజారి వెళ్ళకే సఖియా సఖియా ఓంటరిని చేయకే నడి రేయి పగలు చూడక సుడిగాలై వస్తా సూటిగా ఎదబాటే బాటై రానా నీదాకా పడి లేచే ఎరటం తీరుగా దిశలన్నీ దాటే హోరుగా నిను తాకే దాకా ఆగదు నా కేక చెలియా చెలియా చేజారి వెళ్ళకే సఖియా సఖియా ఓంటరిని చేయకే నడి రేయి పగలు చూడక సుడిగాలై వస్తా సూటిగా ఎడబాటే బాటై రానా నీదాకా కదలికే తెలియని శిలని కదిలించి ఓ ప్రేమా కలయికే కల అని మాయమైపోకుమా గతముగా మిగిలిన చితిని బతికించి ఓ ప్రేమా చెరిపినా చెరగని గాయమైపోకుమా మౌనమా అభిమానమా పలకవా అనురాగమా ఒడిపోకే ప్రాణమా వీడిపోకుమా అడుగడుగు తడబడుతు నిను వెతికి వెతికి కనులు అలిసిపోవాలా చెలియా చెలియా చేజారి వెళ్ళకే సఖియా సఖియా ఓంటరిని చేయకే నిలిచిపో సమయమా తరమకే చెలిమి ఇకనైనా చెలిమితో సమరమా ఇంతగా పంతమా నిలవకే హృదయమా పరుగు ఆపొద్దు క్షణమైనా నమ్మవేం ప్రణయమా అంత సందేహమా వేరుచేసే కాలమా చేరువైతే నేరమా దాడి చేసే దూరమా దారి చూపుమా విరహాలే కరిగేలా జత కలిపి నడుపు వలపు కథలు గెలిచేలా చెలియా చెలియా చేజారి వెళ్ళకే సఖియా సఖియా ఓంటరిని చేయకే
Oh Prema,Sad,2022,"Kapil, Chinmayi Sripaada",వస్తా నే వెంటనే ఉంటా నీ వెంటనే ముద్దంటిన చెంప పై తడి ఆరనే లేదులే మాటొకటి చెప్పెంతలో పయనాలు మొదలాయెనే ఓ ప్రేమా ఓ ప్రేమా అవసరమా అవసరమా ఆ ఆఆ మాయే నీ మాయే నీ ఈ ఈఈ చిరునామా చిరునామా ఆ ఆఆ మనసంతా నీవే ప్రియా విరహాన్ని చంపేదెలా అంతరిక్షం అంచుదాక ప్రేమ తాకిందిగా నీతో ఙ్ఞాపకాలే ఈ మంచుల అవి కరగవే ఈ నీ పరిమళాలే గుండెలో నిండెలే ఓ ప్రేమా ఓ ప్రేమా అవసరమా అవసరమా ఆ ఆఆ మాయే నీ మాయే నీ ఈ ఈఈ చిరునామా చిరునామా ఆ ఆఆ ఇటు చూడవా ప్రియతమా ఎడబాటు అనుకోకుమా కాళీ కింద చిక్కుకుంది చూడు నా ప్రాణమే దూరం ఆవిరాయే నీ వెచ్చనీ నిశ్వాసలో నిదురే చెదిరేలోపే తిరిగిరా స్వప్నమా ఓ ప్రేమా ఓ ప్రేమా అవసరమా అవసరమా ఆ ఆఆ మాయే నీ మాయే నీ ఈ ఈఈ చిరునామా చిరునామా ఆ ఆఆ
